n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
3,0,6,6,slike_min/graf_min_n3_mu0.png,slike_max/graf_max_n3_mu0.png,BW,BW
3,1,9,9,slike_min/graf_min_n3_mu1.png,slike_max/graf_max_n3_mu1.png,Bw,Bw
4,0,10,10,slike_min/graf_min_n4_mu0.png,slike_max/graf_max_n4_mu0.png,CF,CU
4,1,15,16,slike_min/graf_min_n4_mu1.png,slike_max/graf_max_n4_mu1.png,CV,C]
4,2,23,23,slike_min/graf_min_n4_mu2.png,slike_max/graf_max_n4_mu2.png,C^,C^
4,3,34,34,slike_min/graf_min_n4_mu3.png,slike_max/graf_max_n4_mu3.png,C~,C~
5,0,15,15,slike_min/graf_min_n5_mu0.png,slike_max/graf_max_n5_mu0.png,D?{,DQo
5,1,22,25,slike_min/graf_min_n5_mu1.png,slike_max/graf_max_n5_mu1.png,DC{,DUW
5,2,33,38,slike_min/graf_min_n5_mu2.png,slike_max/graf_max_n5_mu2.png,DQ{,DFw
5,3,51,57,slike_min/graf_min_n5_mu3.png,slike_max/graf_max_n5_mu3.png,DF{,D]w
5,4,78,83,slike_min/graf_min_n5_mu4.png,slike_max/graf_max_n5_mu4.png,DV{,D]{
5,5,116,116,slike_min/graf_min_n5_mu5.png,slike_max/graf_max_n5_mu5.png,D^{,D^{
5,6,165,165,slike_min/graf_min_n5_mu6.png,slike_max/graf_max_n5_mu6.png,D~{,D~{
6,0,21,21,slike_min/graf_min_n6_mu0.png,slike_max/graf_max_n6_mu0.png,E?Bw,ECZ?
6,1,30,36,slike_min/graf_min_n6_mu1.png,slike_max/graf_max_n6_mu1.png,E?bw,EEh_
6,2,43,56,slike_min/graf_min_n6_mu2.png,slike_max/graf_max_n6_mu2.png,ECRw,ECxo
6,3,67,88,slike_min/graf_min_n6_mu3.png,slike_max/graf_max_n6_mu3.png,ECZw,EEz_
6,4,99,141,slike_min/graf_min_n6_mu4.png,slike_max/graf_max_n6_mu4.png,E?~w,EFz_
6,5,154,196,slike_min/graf_min_n6_mu5.png,slike_max/graf_max_n6_mu5.png,EC~w,EFzo
6,6,231,279,slike_min/graf_min_n6_mu6.png,slike_max/graf_max_n6_mu6.png,ETnw,E]yw
6,7,345,402,slike_min/graf_min_n6_mu7.png,slike_max/graf_max_n6_mu7.png,EF~w,E]~o
6,8,508,535,slike_min/graf_min_n6_mu8.png,slike_max/graf_max_n6_mu8.png,EV~w,E]~w
6,9,720,720,slike_min/graf_min_n6_mu9.png,slike_max/graf_max_n6_mu9.png,E^~w,E^~w
6,10,981,981,slike_min/graf_min_n6_mu10.png,slike_max/graf_max_n6_mu10.png,E~~w,E~~w
7,0,28,28,slike_min/graf_min_n7_mu0.png,slike_max/graf_max_n7_mu0.png,F??Fw,FCQb?
